,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
1948,Battery Park City,40.71193198,-74.01686931,Hudson River Trail,40.71366880565693,-74.01742037283613,Park,Outdoors & Recreation,Park,Park,Park
1949,Battery Park City,40.71193198,-74.01686931,Liberty Park,40.71038391621699,-74.01386844682942,Park,Outdoors & Recreation,Park,Park,Park
1950,Battery Park City,40.71193198,-74.01686931,River Terrace playground,40.715826170028365,-74.0167865355345,Park,Outdoors & Recreation,Park,Park,Park
1951,Battery Park City,40.71193198,-74.01686931,Rector Park,40.70921008079804,-74.0168700906925,Park,Outdoors & Recreation,Park,Park,Park
1952,Battery Park City,40.71193198,-74.01686931,South Meadow,40.71578917249773,-74.01716215750206,Park,Outdoors & Recreation,Park,Park,Park
1953,Battery Park City,40.71193198,-74.01686931,West Thames Park,40.70831129860975,-74.01576778866355,Park,Outdoors & Recreation,Park,Park,Park
1954,Financial District,40.70710711,-74.01066545,Liberty Park,40.71038391621699,-74.01386844682942,Park,Outdoors & Recreation,Park,Park,Park
1955,Financial District,40.70710711,-74.01066545,Bowling Green,40.70455599115943,-74.01353117229301,Park,Outdoors & Recreation,Park,Park,Park
1956,Financial District,40.70710711,-74.01066545,Zuccotti Park,40.70925931824435,-74.01124477386473,Park,Outdoors & Recreation,Park,Park,Park
1957,Civic Center,40.71522892,-74.0054153,Foley Square,40.714508813225706,-74.00291919708252,Park,Outdoors & Recreation,Park,Park,Park
1958,Civic Center,40.71522892,-74.0054153,City Hall Park,40.71241508549692,-74.00672422767822,Park,Outdoors & Recreation,Park,Park,Park
1959,Civic Center,40.71522892,-74.0054153,Duane Park,40.71717275801168,-74.00932869125117,Park,Outdoors & Recreation,Park,Park,Park
1960,Civic Center,40.71522892,-74.0054153,Columbus Park,40.71560296093611,-73.99988388989955,Park,Outdoors & Recreation,Park,Park,Park
1961,Sutton Place,40.76028033,-73.96355614,Sutton Place Park,40.757095331208326,-73.96013259887695,Park,Outdoors & Recreation,Park,Park,Park
1962,Sutton Place,40.76028033,-73.96355614,East River Pavillion,40.75915879359869,-73.95814221792891,Park,Outdoors & Recreation,Park,Park,Park
1963,Sutton Place,40.76028033,-73.96355614,Andrew Haswell Green Park,40.759133237093714,-73.9581008597996,Park,Outdoors & Recreation,Park,Park,Park
1964,Sutton Place,40.76028033,-73.96355614,Sutton Place Park - Sutton Sq,40.757704847653024,-73.95941376686095,Park,Outdoors & Recreation,Park,Park,Park
1965,Turtle Bay,40.75204237,-73.96770825,Tudor City Park North,40.749324502747974,-73.97052427585831,Park,Outdoors & Recreation,Park,Park,Park
1966,Turtle Bay,40.75204237,-73.96770825,Peter Detmold Park,40.75359909960432,-73.96364756807965,Park,Outdoors & Recreation,Park,Park,Park
1967,Turtle Bay,40.75204237,-73.96770825,Tudor City Park South,40.74876578594654,-73.97077529524509,Park,Outdoors & Recreation,Park,Park,Park
1968,Turtle Bay,40.75204237,-73.96770825,Ralph Bunche Park,40.74941088125783,-73.969686627388,Park,Outdoors & Recreation,Park,Park,Park
1969,Tudor City,40.74691741,-73.97121929,Tudor City Park South,40.74876578594654,-73.97077529524509,Park,Outdoors & Recreation,Park,Park,Park
1970,Tudor City,40.74691741,-73.97121929,Tudor City Park North,40.749324502747974,-73.97052427585831,Park,Outdoors & Recreation,Park,Park,Park
1971,Tudor City,40.74691741,-73.97121929,St. Vartan Park,40.745196450993525,-73.97371530532838,Park,Outdoors & Recreation,Park,Park,Park
1972,Tudor City,40.74691741,-73.97121929,East River Esplanade,40.74497495233401,-73.97043228149414,Park,Outdoors & Recreation,Park,Park,Park
1973,Tudor City,40.74691741,-73.97121929,Ralph Bunche Park,40.74941088125783,-73.969686627388,Park,Outdoors & Recreation,Park,Park,Park
1974,Stuyvesant Town,40.73099955,-73.9740517,Stuyvesant Cove Park,40.73251294059504,-73.97387623786926,Park,Outdoors & Recreation,Park,Park,Park
1975,Stuyvesant Town,40.73099955,-73.9740517,Solar One,40.73444177328803,-73.97434969023425,Park,Outdoors & Recreation,Park,Park,Park
1976,Flatiron,40.73967305,-73.99094711,Madison Square Park,40.74226204193276,-73.98800611495972,Park,Outdoors & Recreation,Park,Park,Park
1977,Flatiron,40.73967305,-73.99094711,Gramercy Park,40.737876444141605,-73.98590326309206,Park,Outdoors & Recreation,Park,Park,Park
1978,Flatiron,40.73967305,-73.99094711,Union Square Park,40.73532302805225,-73.9902427306349,Park,Outdoors & Recreation,Park,Park,Park
1979,Hudson Yards,40.75665808,-74.00011136,Bella Abzug Park,40.75557964275589,-74.00034427642822,Park,Outdoors & Recreation,Park,Park,Park
1980,Hudson Yards,40.75665808,-74.00011136,Pier 61,40.7594189789866,-74.00337295179452,Park,Outdoors & Recreation,Park,Park,Park
1981,JC07306,40.733751,-74.06582,Canco Park,40.738007362062135,-74.0671978289703,Park,Outdoors & Recreation,Park,Park,Park
1982,Hoboken,40.744851,-74.03294,Church Square Park,40.74215230390258,-74.03223037719727,Park,Outdoors & Recreation,Park,Park,Park
1983,Hoboken,40.744851,-74.03294,Columbus Park,40.74863449076696,-74.0329356037609,Park,Outdoors & Recreation,Park,Park,Park
1984,Washington Heights,40.85190253,-73.93690028,Cabrini Wines,40.851292188704186,-73.93971626183753,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1985,Washington Heights,40.85190253,-73.93690028,Vines on Pine,40.855277747978796,-73.93767127156606,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1986,Inwood,40.86768396,-73.92121042,PJ Wine,40.86725069863996,-73.92234862213004,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1987,Hamilton Heights,40.82360428,-73.94968792,Fine Wine & Spirits,40.82430596507498,-73.9445395896191,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
